Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Continent,Automatic / Manual,A / M digital
BUICK,LACROSSE AWD,MID-SIZE,3.6,6.0,AS6,E,18.6,12.6,15.9,18.0,254.0,America,A,1
DODGE,CHARGER FFV,FULL-SIZE,3.6,6.0,A5,E,18.7,12.4,15.9,18.0,254.0,America,A,1
ACURA,MDX SH-AWD,SUV - SMALL,3.5,6.0,AS9,Z,12.7,9.1,11.1,25.0,254.0,America,A,1
JAGUAR,F-TYPE S CONVERTIBLE,TWO-SEATER,3.0,6.0,AS8,Z,12.5,8.7,10.8,26.0,254.0,Europe,A,1
JAGUAR,F-TYPE S COUPE,TWO-SEATER,3.0,6.0,AS8,Z,12.5,8.7,10.8,26.0,254.0,Europe,A,1
LAND ROVER,RANGE ROVER TD6 DIESEL,SUV - STANDARD,3.0,6.0,AS8,D,10.6,8.1,9.4,30.0,254.0,Europe,A,1
LAND ROVER,RANGE ROVER SPORT TD6 DIESEL,SUV - STANDARD,3.0,6.0,AS8,D,10.6,8.1,9.4,30.0,254.0,Europe,A,1
LEXUS,GS 350 AWD,MID-SIZE,3.5,6.0,AS6,Z,12.4,9.0,10.9,26.0,254.0,Asia,A,1
SUBARU,WRX,COMPACT,2.0,4.0,AV8,Z,12.5,9.5,11.2,25.0,254.0,Asia,A,1
VOLVO,XC60 T5 AWD,SUV - SMALL,2.5,5.0,AS6,X,12.5,9.2,11.0,26.0,254.0,Europe,A,1
VOLVO,XC70 T5 AWD,SUV - SMALL,2.5,5.0,AS6,X,12.5,9.2,11.0,26.0,254.0,Europe,A,1
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4.0,M6,X,12.2,9.2,10.9,26.0,254.0,America,M,0
FORD,EXPLORER,SUV - STANDARD,2.3,4.0,AS6,X,12.6,8.6,10.8,26.0,254.0,America,A,1
GMC,CANYON,PICKUP TRUCK - SMALL,2.5,4.0,M6,X,12.2,9.2,10.9,26.0,254.0,America,M,0
HONDA,ACCORD COUPE,MID-SIZE,3.5,6.0,M6,X,12.9,8.4,10.9,26.0,254.0,Asia,M,0
HONDA,PILOT,SUV - SMALL,3.5,6.0,A6,X,12.4,8.8,10.8,26.0,254.0,Asia,A,1
LINCOLN,MKC AWD (START/STOP),SUV - SMALL,2.0,4.0,AS6,X,12.1,9.3,10.8,26.0,254.0,America,A,1
CHEVROLET,IMPALA FFV,FULL-SIZE,3.6,6.0,AS6,X,12.7,8.5,10.8,26.0,254.0,America,A,1
LEXUS,IS 300 AWD,COMPACT,3.5,6.0,AS6,Z,12.3,9.1,10.9,26.0,254.0,Asia,A,1
LEXUS,IS 350 AWD,COMPACT,3.5,6.0,AS6,Z,12.3,9.1,10.9,26.0,254.0,Asia,A,1
BMW,X7 XDRIVE40I,SUV - STANDARD,3.0,6.0,AS8,Z,12.0,9.4,10.8,26.0,254.0,Europe,A,1
CHEVROLET,IMPALA,FULL-SIZE,3.6,6.0,AS6,X,12.7,8.5,10.8,26.0,254.0,America,A,1
FORD,TAURUS FFV,FULL-SIZE,3.5,6.0,AS6,E,17.8,12.1,15.2,19.0,254.0,America,A,1
LEXUS,GS 350 AWD,MID-SIZE,3.5,6.0,AS6,Z,12.3,9.1,10.9,26.0,254.0,Asia,A,1
MERCEDES-BENZ,E 450 4MATIC WAGON,STATION WAGON - MID-SIZE,3.0,6.0,A9,Z,12.3,8.9,10.8,26.0,254.0,Europe,A,1
TOYOTA,SIENNA,MINIVAN,3.5,6.0,AS8,X,12.4,8.9,10.8,26.0,254.0,Asia,A,1
ACURA,MDX SH-AWD,SUV - SMALL,3.5,6.0,AS9,Z,12.3,9.2,10.9,26.0,254.0,America,A,1
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.3,6.0,AS6,X,12.1,9.3,10.8,26.0,254.0,America,A,1
INFINITI,Q50 AWD,MID-SIZE,3.0,6.0,AS7,Z,12.5,8.7,10.8,26.0,254.0,America,A,1
BMW,Z4 SDRIVE35I,TWO-SEATER,3.0,6.0,M6,Z,12.7,9.0,11.0,26.0,253.0,Europe,M,0
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.0,6.0,AS6,X,12.7,8.9,11.0,26.0,253.0,America,A,1
INFINITI,Q70,MID-SIZE,3.7,6.0,AS7,Z,12.8,8.9,11.0,26.0,253.0,America,A,1
INFINITI,QX60 AWD,SUV - SMALL,3.5,6.0,AV,Z,12.3,9.3,11.0,26.0,253.0,America,A,1
JEEP,CHEROKEE 4X4 ACTIVE DRIVE II,SUV - SMALL,3.2,6.0,A9,X,12.5,9.1,11.0,26.0,253.0,America,A,1
KIA,SORENTO 4WD,SUV - SMALL,2.4,4.0,A6,X,12.3,9.3,11.0,26.0,253.0,Asia,A,1
LEXUS,GS 350 AWD,MID-SIZE,3.5,6.0,AS6,Z,12.5,9.1,11.0,26.0,253.0,Asia,A,1
LEXUS,IS 350 AWD,COMPACT,3.5,6.0,AS6,Z,12.5,9.1,11.0,26.0,253.0,Asia,A,1
NISSAN,370Z,TWO-SEATER,3.7,6.0,AS7,Z,12.6,9.1,11.0,26.0,253.0,Asia,A,1
NISSAN,PATHFINDER 4WD,SUV - SMALL,3.5,6.0,AV,X,12.3,9.3,11.0,26.0,253.0,Asia,A,1
PORSCHE,911 CARRERA 4 CABRIOLET,MINICOMPACT,3.4,6.0,M7,Z,12.6,9.0,11.0,26.0,253.0,Europe,M,0
PORSCHE,911 CARRERA 4S,MINICOMPACT,3.8,6.0,M7,Z,12.8,8.9,11.0,26.0,253.0,Europe,M,0
PORSCHE,911 CARRERA 4S CABRIOLET,MINICOMPACT,3.8,6.0,AM7,Z,12.7,9.0,11.0,26.0,253.0,Europe,A,1
TOYOTA,VENZA,SUV - SMALL,3.5,6.0,AS6,X,12.6,9.1,11.0,26.0,253.0,Asia,A,1
AUDI,A7 QUATTRO,MID-SIZE,3.0,6.0,AS8,Z,13.1,8.5,11.0,26.0,253.0,Europe,A,1
AUDI,S4,COMPACT,3.0,6.0,AM7,Z,13.0,8.5,11.0,26.0,253.0,Europe,A,1
AUDI,S5,SUBCOMPACT,3.0,6.0,AM7,Z,13.0,8.5,11.0,26.0,253.0,Europe,A,1
BMW,535I XDRIVE GRAN TURISMO,FULL-SIZE,3.0,6.0,AS8,Z,12.8,8.9,11.0,26.0,253.0,Europe,A,1
BUICK,LACROSSE,MID-SIZE,3.6,6.0,AS6,E,18.7,12.4,15.8,18.0,253.0,America,A,1
CADILLAC,ATS AWD,COMPACT,3.6,6.0,AS6,X,12.8,8.9,11.0,26.0,253.0,America,A,1
CADILLAC,CTS AWD,MID-SIZE,3.6,6.0,AS6,X,12.8,8.9,11.0,26.0,253.0,America,A,1
LEXUS,GS 350 AWD,MID-SIZE,3.5,6.0,AS6,Z,12.6,9.1,11.0,26.0,253.0,Asia,A,1
LEXUS,IS 350 AWD,COMPACT,3.5,6.0,AS6,Z,12.6,9.1,11.0,26.0,253.0,Asia,A,1
LEXUS,RC 350 AWD,SUBCOMPACT,3.5,6.0,AS6,Z,12.6,9.1,11.0,26.0,253.0,Asia,A,1
NISSAN,PATHFINDER 4WD PLATINUM,SUV - SMALL,3.5,6.0,AV,X,12.7,9.0,11.0,26.0,253.0,Asia,A,1
PORSCHE,911 CARRERA 4S,MINICOMPACT,3.8,6.0,M7,Z,12.6,8.9,11.0,26.0,253.0,Europe,M,0
PORSCHE,911 CARRERA 4S CABRIOLET,MINICOMPACT,3.8,6.0,AM7,Z,12.5,9.0,11.0,26.0,253.0,Europe,A,1
PORSCHE,911 CARRERA GTS,MINICOMPACT,3.8,6.0,AM7,Z,12.6,9.0,11.0,26.0,253.0,Europe,A,1
VOLVO,S60 POLESTAR AWD,COMPACT,3.0,6.0,AS6,X,12.8,8.9,11.0,26.0,253.0,Europe,A,1
VOLVO,V60 POLESTAR AWD,STATION WAGON - SMALL,3.0,6.0,AS6,X,12.8,8.9,11.0,26.0,253.0,Europe,A,1
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4.0,M6,X,12.2,9.1,10.8,26.0,253.0,America,M,0
FORD,EXPLORER,SUV - STANDARD,2.3,4.0,AS6,X,12.6,8.5,10.8,26.0,253.0,America,A,1
FORD,MUSTANG,SUBCOMPACT,3.7,6.0,AS6,X,12.6,8.5,10.7,26.0,253.0,America,A,1
GMC,CANYON,PICKUP TRUCK - SMALL,2.5,4.0,M6,X,12.2,9.1,10.8,26.0,253.0,America,M,0
HONDA,ACCORD COUPE,MID-SIZE,3.5,6.0,M6,X,12.9,8.3,10.9,26.0,253.0,Asia,M,0
HONDA,PILOT,SUV - SMALL,3.5,6.0,A6,X,12.4,8.8,10.8,26.0,253.0,Asia,A,1
JEEP,CHEROKEE TRAILHAWK 4X4,SUV - SMALL,3.2,6.0,A9,X,12.2,9.0,10.8,26.0,253.0,America,A,1
MERCEDES-BENZ,E 400 4MATIC WAGON,STATION WAGON - MID-SIZE,3.0,6.0,AS7,Z,12.4,8.9,10.8,26.0,253.0,Europe,A,1
MERCEDES-BENZ,GLE 350D 4MATIC COUPE,SUV - STANDARD,3.0,6.0,A9,D,10.4,8.2,9.4,30.0,253.0,Europe,A,1
MERCEDES-BENZ,S 400 4MATIC SWB,MID-SIZE,3.0,6.0,AS7,Z,12.6,8.6,10.8,26.0,253.0,Europe,A,1
PORSCHE,911 TARGA 4,MINICOMPACT,3.4,6.0,AM7,Z,12.3,8.9,10.8,26.0,253.0,Europe,A,1
AUDI,Q7,SUV - STANDARD,2.0,4.0,AS8,Z,11.9,9.6,10.8,26.0,253.0,Europe,A,1
FORD,TRANSIT CONNECT WAGON LWB FFV,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,X,12.4,8.8,10.8,26.0,253.0,America,A,1
HYUNDAI,SANTA FE SPORT AWD,SUV - SMALL,2.4,4.0,AS6,X,12.0,9.1,10.7,26.0,253.0,Asia,A,1
INFINITI,Q60 AWD,SUBCOMPACT,3.0,6.0,AS7,Z,12.4,8.8,10.8,26.0,253.0,America,A,1
JAGUAR,F-TYPE S CONVERTIBLE,TWO-SEATER,3.0,6.0,AS8,Z,12.4,8.8,10.8,26.0,253.0,Europe,A,1
JAGUAR,F-TYPE S COUPE,TWO-SEATER,3.0,6.0,AS8,Z,12.4,8.8,10.8,26.0,253.0,Europe,A,1
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4.0,A6,X,12.1,9.2,10.8,26.0,253.0,America,A,1
FORD,F-150 (LT TIRE PKG),PICKUP TRUCK - STANDARD,2.7,6.0,AS10,X,12.0,9.4,10.8,26.0,253.0,America,A,1
GMC,CANYON,PICKUP TRUCK - SMALL,2.5,4.0,A6,X,12.1,9.2,10.8,26.0,253.0,America,A,1
INFINITI,Q50 AWD,MID-SIZE,3.0,6.0,AS7,Z,12.4,8.7,10.8,26.0,253.0,America,A,1
JAGUAR,F-TYPE CONVERTIBLE R-DYNAMIC,TWO-SEATER,3.0,6.0,AS8,Z,12.4,8.8,10.8,26.0,253.0,Europe,A,1
JAGUAR,F-TYPE COUPE R-DYNAMIC,TWO-SEATER,3.0,6.0,AS8,Z,12.4,8.8,10.8,26.0,253.0,Europe,A,1
MERCEDES-BENZ,AMG C 43 4MATIC,COMPACT,3.0,6.0,A9,Z,12.4,8.7,10.7,26.0,253.0,Europe,A,1
MERCEDES-BENZ,S 450 4MATIC SWB,MID-SIZE,3.0,6.0,A9,Z,12.8,8.5,10.8,26.0,253.0,Europe,A,1
PORSCHE,PANAMERA 4,FULL-SIZE,3.0,6.0,AM8,Z,12.4,9.0,10.9,26.0,253.0,Europe,A,1
PORSCHE,PANAMERA 4 EXECUTIVE,FULL-SIZE,3.0,6.0,AM8,Z,12.4,9.0,10.9,26.0,253.0,Europe,A,1
RAM,1500 ETORQUE,PICKUP TRUCK - STANDARD,3.6,6.0,A8,X,11.9,9.4,10.8,26.0,253.0,America,A,1
BUICK,REGAL AWD,MID-SIZE,2.0,4.0,AS6,Z,12.4,8.7,10.7,26.0,252.0,America,A,1
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.8,4.0,A6,D,10.8,7.7,9.4,30.0,252.0,America,A,1
FORD,TRANSIT CONNECT WAGON,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,X,12.4,8.7,10.7,26.0,252.0,America,A,1
FORD,TRANSIT CONNECT WAGON FFV,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,X,12.4,8.7,10.7,26.0,252.0,America,A,1
FORD,TRANSIT CONNECT WAGON LWB,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,X,12.4,8.7,10.7,26.0,252.0,America,A,1
FORD,TRANSIT CONNECT WAGON LWB FFV,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,X,12.4,8.7,10.7,26.0,252.0,America,A,1
GMC,CANYON,PICKUP TRUCK - SMALL,2.8,4.0,A6,D,10.8,7.7,9.4,30.0,252.0,America,A,1
INFINITI,QX60 AWD,SUV - SMALL,3.5,6.0,AV7,Z,12.2,8.9,10.7,26.0,252.0,America,A,1
MERCEDES-BENZ,AMG SLK 55,TWO-SEATER,5.5,8.0,AS7,Z,12.4,8.5,10.6,27.0,252.0,Europe,A,1
MERCEDES-BENZ,CLS 400 4MATIC,COMPACT,3.0,6.0,AS7,Z,12.2,8.8,10.7,26.0,252.0,Europe,A,1
PORSCHE,911 CARRERA S,MINICOMPACT,3.8,6.0,M7,Z,12.4,8.7,10.7,26.0,252.0,Europe,M,0
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4.0,A6,X,12.0,9.2,10.7,26.0,252.0,America,A,1
CHRYSLER,200 AWD FFV,MID-SIZE,3.6,6.0,A9,X,12.8,8.3,10.8,26.0,252.0,America,A,1
GMC,CANYON,PICKUP TRUCK - SMALL,2.5,4.0,A6,X,12.0,9.2,10.7,26.0,252.0,America,A,1
LAND ROVER,DISCOVERY SPORT,SUV - SMALL,2.0,4.0,AS9,Z,12.0,9.2,10.7,26.0,252.0,Europe,A,1
LEXUS,RX 350 AWD,SUV - SMALL,3.5,6.0,AS8,X,12.2,9.0,10.8,26.0,252.0,Asia,A,1
FORD,FOCUS RS AWD,MID-SIZE,2.3,4.0,M6,Z,12.2,9.0,10.8,26.0,252.0,America,M,0
HONDA,ODYSSEY,MINIVAN,3.5,6.0,AS9,X,12.6,8.4,10.7,26.0,252.0,Asia,A,1
ACURA,MDX SH-AWD,SUV - SMALL,3.5,6.0,AS9,Z,12.2,9.0,10.8,26.0,252.0,America,A,1
AUDI,A8L,FULL-SIZE,3.0,6.0,AS8,Z,12.5,8.6,10.8,26.0,252.0,Europe,A,1
AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6.0,AS8,Z,12.1,9.1,10.8,26.0,252.0,Europe,A,1
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4.0,A6,X,12.1,9.2,10.8,26.0,252.0,America,A,1
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,3.0,6.0,A10,D,10.4,8.0,9.4,30.0,252.0,America,A,1
FORD,MUSTANG CONVERTIBLE (PERFORMANCE PKG),SUBCOMPACT,2.3,4.0,M6,X,12.1,9.1,10.7,26.0,252.0,America,M,0
GMC,CANYON,PICKUP TRUCK - SMALL,2.5,4.0,A6,X,12.1,9.2,10.8,26.0,252.0,America,A,1
AUDI,A6 QUATTRO,MID-SIZE,3.0,6.0,AS8,Z,12.8,8.6,10.9,26.0,251.0,Europe,A,1
CADILLAC,ATS,COMPACT,3.6,6.0,AS6,X,12.8,8.5,10.9,26.0,251.0,America,A,1
CHRYSLER,300 AWD,FULL-SIZE,3.6,6.0,A8,X,12.8,8.6,10.9,26.0,251.0,America,A,1
CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6.0,A8,X,12.8,8.6,10.9,26.0,251.0,America,A,1
DODGE,CHARGER AWD,FULL-SIZE,3.6,6.0,A8,X,12.8,8.6,10.9,26.0,251.0,America,A,1
DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6.0,A8,X,12.8,8.6,10.9,26.0,251.0,America,A,1
DODGE,CHARGER FFV,FULL-SIZE,3.6,6.0,A5,E,18.3,12.6,15.7,18.0,251.0,America,A,1
FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6.0,AS6,E,18.4,12.5,15.7,18.0,251.0,America,A,1
HONDA,ACCORD,MID-SIZE,3.5,6.0,M6,X,13.0,8.4,10.9,26.0,251.0,Asia,M,0
JEEP,CHEROKEE TRAILHAWK 4X4,SUV - SMALL,2.4,4.0,A9,X,12.1,9.4,10.9,26.0,251.0,America,A,1
KIA,CADENZA,FULL-SIZE,3.3,6.0,A6,X,12.7,8.8,10.9,26.0,251.0,Asia,A,1
NISSAN,MAXIMA,MID-SIZE,3.5,6.0,AV,Z,12.3,9.1,10.9,26.0,251.0,Asia,A,1
PORSCHE,911 CARRERA S CABRIOLET,MINICOMPACT,3.8,6.0,M7,Z,12.6,8.8,10.9,26.0,251.0,Europe,M,0
PORSCHE,CAYENNE S HYBRID,SUV - STANDARD,3.0,6.0,A8,Z,11.8,9.9,10.9,26.0,251.0,Europe,A,1
PORSCHE,PANAMERA,FULL-SIZE,3.6,6.0,AM7,Z,12.9,8.4,10.9,26.0,251.0,Europe,A,1
TOYOTA,TACOMA,PICKUP TRUCK - SMALL,2.7,4.0,A4,X,12.2,9.3,10.9,26.0,251.0,Asia,A,1
BMW,X3 XDRIVE35I,SUV - SMALL,3.0,6.0,AS8,Z,12.7,8.8,10.9,26.0,251.0,Europe,A,1
BMW,X4 XDRIVE35I,SUV - SMALL,3.0,6.0,AS8,Z,12.7,8.8,10.9,26.0,251.0,Europe,A,1
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.5,6.0,A6,E,17.9,13.0,15.7,18.0,251.0,America,A,1
JEEP,CHEROKEE 4X4 ACTIVE DRIVE II,SUV - SMALL,3.2,6.0,A9,X,12.6,8.9,10.9,26.0,251.0,America,A,1
KIA,SORENTO AWD,SUV - SMALL,2.4,4.0,AS6,X,12.2,9.4,10.9,26.0,251.0,Asia,A,1
LINCOLN,MKC AWD,SUV - SMALL,2.0,4.0,AS6,X,12.4,9.0,10.9,26.0,251.0,America,A,1
PORSCHE,911 CARRERA 4 CABRIOLET,MINICOMPACT,3.4,6.0,M7,Z,12.5,9.0,10.9,26.0,251.0,Europe,M,0
PORSCHE,911 CARRERA S CABRIOLET,MINICOMPACT,3.8,6.0,M7,Z,12.5,8.9,10.9,26.0,251.0,Europe,M,0
TOYOTA,VENZA,SUV - SMALL,3.5,6.0,AS6,X,12.5,9.0,10.9,26.0,251.0,Asia,A,1
ACURA,MDX SH-AWD ELITE,SUV - SMALL,3.5,6.0,AS9,Z,12.2,9.1,10.7,26.0,251.0,America,A,1
KIA,CADENZA,FULL-SIZE,3.3,6.0,AS6,X,12.7,8.4,10.7,26.0,251.0,Asia,A,1
KIA,SPORTAGE AWD,SUV - SMALL,2.4,4.0,AS6,X,12.0,9.3,10.8,26.0,251.0,Asia,A,1
LEXUS,GS 350 F SPORT,MID-SIZE,3.5,6.0,AS8,Z,12.5,8.6,10.7,26.0,251.0,Asia,A,1
LEXUS,RX 350 AWD,SUV - SMALL,3.5,6.0,AS8,X,12.2,8.9,10.7,26.0,251.0,Asia,A,1
NISSAN,PATHFINDER 4WD,SUV - SMALL,3.5,6.0,AV,X,12.1,8.9,10.7,26.0,251.0,Asia,A,1
PORSCHE,911 CARRERA CABRIOLET,MINICOMPACT,3.4,6.0,M7,Z,12.3,8.7,10.7,26.0,251.0,Europe,M,0
PORSCHE,911 CARRERA 4,MINICOMPACT,3.4,6.0,M7,Z,12.3,8.7,10.7,26.0,251.0,Europe,M,0
PORSCHE,911 CARRERA 4S,MINICOMPACT,3.8,6.0,AM7,Z,12.2,8.9,10.7,26.0,251.0,Europe,A,1
VOLKSWAGEN,TIGUAN,SUV - SMALL,2.0,4.0,AS6,Z,11.7,9.5,10.7,26.0,251.0,Europe,A,1
ACURA,MDX SH-AWD ELITE,SUV - SMALL,3.5,6.0,AS9,Z,12.2,9.0,10.7,26.0,251.0,America,A,1
HONDA,ODYSSEY,MINIVAN,3.5,6.0,A6,X,12.3,8.6,10.7,26.0,251.0,Asia,A,1
TOYOTA,HIGHLANDER AWD,SUV - STANDARD,3.5,6.0,AS8,X,12.1,9.0,10.6,27.0,251.0,Asia,A,1
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4.0,M6,X,11.9,9.2,10.7,26.0,251.0,America,M,0
FORD,TRANSIT CONNECT WAGON LWB FFV,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,X,12.3,8.8,10.7,26.0,251.0,America,A,1
GMC,CANYON,PICKUP TRUCK - SMALL,2.5,4.0,M6,X,11.9,9.2,10.7,26.0,251.0,America,M,0
INFINITI,Q60 AWD,SUBCOMPACT,3.0,6.0,AS7,Z,12.3,8.6,10.7,26.0,251.0,America,A,1
MERCEDES-BENZ,E 400 4MATIC CABRIOLET,SUBCOMPACT,3.0,6.0,A9,Z,12.0,9.2,10.8,26.0,251.0,Europe,A,1
MERCEDES-BENZ,METRIS CARGO,SPECIAL PURPOSE VEHICLE,2.0,4.0,A7,Z,11.5,9.8,10.7,26.0,251.0,Europe,A,1
PORSCHE,911 TARGA 4 GTS,MINICOMPACT,3.0,6.0,AM7,Z,12.1,9.2,10.8,26.0,251.0,Europe,A,1
BUICK,REGAL AWD,MID-SIZE,3.6,6.0,AS9,X,12.4,8.7,10.7,26.0,251.0,America,A,1
FORD,TRANSIT CONNECT WAGON LWB,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,X,12.1,9.0,10.7,26.0,251.0,America,A,1
INFINITI,Q60 AWD,SUBCOMPACT,3.0,6.0,AS7,Z,12.3,8.7,10.7,26.0,251.0,America,A,1
BUICK,LACROSSE,MID-SIZE,3.6,6.0,AS6,E,18.4,12.2,15.6,18.0,250.0,America,A,1
DODGE,DURANGO AWD FFV,SUV - STANDARD,3.6,6.0,A8,E,17.7,13.0,15.6,18.0,250.0,America,A,1
JEEP,GRAND CHEROKEE 4X4 FFV,SUV - STANDARD,3.6,6.0,A8,E,17.7,13.0,15.6,18.0,250.0,America,A,1
CHRYSLER,200 AWD FFV,MID-SIZE,3.6,6.0,A9,X,12.8,8.1,10.7,26.0,250.0,America,A,1
HONDA,ODYSSEY,MINIVAN,3.5,6.0,A6,X,12.3,8.5,10.6,27.0,250.0,Asia,A,1
PORSCHE,911 CARRERA S CABRIOLET,MINICOMPACT,3.8,6.0,AM7,Z,12.2,8.7,10.6,27.0,250.0,Europe,A,1
PORSCHE,BOXSTER GTS,TWO-SEATER,3.4,6.0,M6,Z,12.1,8.9,10.7,26.0,250.0,Europe,M,0
PORSCHE,CAYMAN GTS,TWO-SEATER,3.4,6.0,M6,Z,12.1,8.9,10.7,26.0,250.0,Europe,M,0
ACURA,RDX AWD,SUV - SMALL,3.5,6.0,AS6,Z,12.4,8.7,10.7,26.0,250.0,America,A,1
BMW,M240I COUPE,SUBCOMPACT,3.0,6.0,M6,Z,12.5,8.4,10.7,26.0,250.0,Europe,M,0
BUICK,REGAL AWD,MID-SIZE,2.0,4.0,AS6,Z,12.1,8.9,10.7,26.0,250.0,America,A,1
NISSAN,PATHFINDER 4WD,SUV - SMALL,3.5,6.0,AV,X,12.1,8.9,10.7,26.0,250.0,Asia,A,1
BUICK,REGAL AWD,FULL-SIZE,3.6,6.0,AS9,X,12.4,8.7,10.7,26.0,250.0,America,A,1
CADILLAC,XT5,SUV - SMALL,3.6,6.0,AS8,X,12.1,8.9,10.6,27.0,250.0,America,A,1
PORSCHE,911 CARRERA 4 GTS CABRIOLET,MINICOMPACT,3.0,6.0,AM7,Z,11.9,9.3,10.7,26.0,250.0,Europe,A,1
CHEVROLET,BLAZER,SUV - SMALL,3.6,6.0,A9,X,12.0,9.0,10.6,27.0,250.0,America,A,1
HONDA,PILOT,SUV - SMALL,3.5,6.0,A6,X,12.4,8.7,10.7,26.0,250.0,Asia,A,1
LINCOLN,NAUTILUS,SUV - SMALL,2.0,4.0,AS8,X,12.0,9.6,10.7,26.0,250.0,America,A,1
PORSCHE,PANAMERA,FULL-SIZE,3.0,6.0,AM8,Z,12.4,8.7,10.7,26.0,250.0,Europe,A,1
PORSCHE,PANAMERA 4 ST,FULL-SIZE,3.0,6.0,AM8,Z,12.2,8.9,10.7,26.0,250.0,Europe,A,1
TOYOTA,HIGHLANDER AWD,SUV - STANDARD,3.5,6.0,AS8,X,12.1,9.0,10.6,27.0,250.0,Asia,A,1
VOLVO,XC90 T6 AWD,SUV - STANDARD,2.0,4.0,AS8,Z,12.1,8.9,10.7,26.0,250.0,Europe,A,1
BUICK,ENVISION AWD,SUV - SMALL,2.0,4.0,A9,Z,11.7,9.4,10.7,26.0,250.0,America,A,1
HYUNDAI,PALISADE,SUV - STANDARD,3.8,6.0,AS8,X,11.9,8.8,10.5,27.0,250.0,Asia,A,1
LINCOLN,NAUTILUS AWD,SUV - SMALL,2.0,4.0,AS8,X,12.0,9.6,10.7,26.0,250.0,America,A,1
ACURA,RDX AWD,SUV - SMALL,3.5,6.0,AS6,Z,12.4,8.6,10.7,26.0,249.0,America,A,1
AUDI,A8 QUATTRO,MID-SIZE,4.0,8.0,AS8,Z,12.9,8.0,10.7,26.0,249.0,Europe,A,1
INFINITI,Q50 AWD,MID-SIZE,3.0,6.0,AS7,Z,12.3,8.5,10.6,27.0,249.0,America,A,1
PORSCHE,911 CARRERA,MINICOMPACT,3.4,6.0,M7,Z,12.3,8.6,10.6,27.0,249.0,Europe,M,0
AUDI,A8,MID-SIZE,4.0,8.0,AS8,Z,12.9,8.0,10.7,26.0,249.0,Europe,A,1
BMW,640I XDRIVE CABRIOLET,SUBCOMPACT,3.0,6.0,AS8,Z,12.4,8.4,10.6,27.0,249.0,Europe,A,1
BMW,640I XDRIVE GRAN COUPE,COMPACT,3.0,6.0,AS8,Z,12.4,8.4,10.6,27.0,249.0,Europe,A,1
BMW,X5 XDRIVE35D,SUV - STANDARD,3.0,6.0,AS8,D,10.3,8.0,9.3,30.0,249.0,Europe,A,1
CHEVROLET,CAMARO,SUBCOMPACT,3.6,6.0,AS8,X,12.3,8.6,10.6,27.0,249.0,America,A,1
CHEVROLET,IMPALA FFV,FULL-SIZE,3.6,6.0,AS6,X,12.5,8.3,10.6,27.0,249.0,America,A,1
CHRYSLER,PACIFICA (STOP-START),MINIVAN,3.6,6.0,A9,X,12.4,8.4,10.6,27.0,249.0,America,A,1
FORD,TAURUS FFV,FULL-SIZE,3.5,6.0,AS6,E,17.6,11.7,15.0,19.0,249.0,America,A,1
JEEP,COMPASS 4X4,SUV - SMALL,2.4,4.0,A6,X,11.7,9.2,10.6,27.0,249.0,America,A,1
JEEP,PATRIOT 4X4,SUV - SMALL,2.4,4.0,A6,X,11.7,9.2,10.6,27.0,249.0,America,A,1
PORSCHE,BOXSTER S,TWO-SEATER,2.5,4.0,M6,Z,12.1,9.0,10.7,26.0,249.0,Europe,M,0
PORSCHE,CAYMAN S,TWO-SEATER,2.5,4.0,M6,Z,12.1,9.0,10.7,26.0,249.0,Europe,M,0
VOLVO,XC90 T6 AWD,SUV - STANDARD,2.0,4.0,AS8,Z,11.5,9.6,10.6,27.0,249.0,Europe,A,1
BMW,M240I COUPE,SUBCOMPACT,3.0,6.0,M6,Z,12.5,8.4,10.7,26.0,249.0,Europe,M,0
